programId,collegeId,collegeName,slug,division,previousBaseballWebsiteUrl,restoredBaseballWebsiteUrl,confidence,sourceContactUrl,coachCount,action,reason
cmoss3ume003bqtaosl7ef19d,cmoss3ulp0039qtaosklsgdir,University of Nebraska,university-of-nebraska,NCAA_D1,,https://huskers.com/sports/baseball,HIGH,https://huskers.com/sports/baseball/roster#sidearm-roster-coaches,4,WOULD_UPDATE,
cmou692eh009wqt1gg1l67qtd,cmou692dm009uqt1gk17ovy4y,University of North Alabama,university-of-north-alabama,NCAA_D1,,https://roarlions.com/sports/baseball,HIGH,https://roarlions.com/sports/baseball/coaches/2026,4,WOULD_UPDATE,
cmorihv5i000hqth8642hp9ga,cmorihv4u000fqth8xhav3tg9,University of North Carolina at Chapel Hill,university-of-north-carolina-at-chapel-hill,NCAA_D1,,https://goheels.com/sports/baseball,HIGH,https://goheels.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmou57e8c007nqtdwb5t9ewz1,cmou57e7n007lqtdw6grlj0yo,University of North Carolina at Charlotte,university-of-north-carolina-at-charlotte,NCAA_D1,,https://charlotte49ers.com/sports/baseball,HIGH,https://charlotte49ers.com/sports/baseball/roster/2026#sidearm-roster-coaches,3,WOULD_UPDATE,
cmou692fz009zqt1goeu3cfla,cmou692f9009xqt1gxdgwjsm8,University of North Florida,university-of-north-florida,NCAA_D1,,https://unfospreys.com/sports/baseball,HIGH,https://unfospreys.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmosownyi000wqtuo71ef7lg9,cmosownxt000uqtuozt3yykq9,University of Notre Dame,university-of-notre-dame,NCAA_D1,,https://fightingirish.com/sports/baseball,HIGH,https://fightingirish.com/sports/baseball/roster#sidearm-roster-coaches,4,WOULD_UPDATE,
cmossumtm0045qtpg75518v32,cmossumsw0043qtpgqq3re2qg,University of Oregon,university-of-oregon,NCAA_D1,,https://goducks.com/sports/baseball,HIGH,https://goducks.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmosowo02000zqtuorrxcus33,cmosownzc000xqtuoxng8rral,University of Pittsburgh,university-of-pittsburgh,NCAA_D1,,https://pittsburghpanthers.com/sports/baseball,HIGH,https://pittsburghpanthers.com/sports/baseball/roster/2026#sidearm-roster-coaches,3,WOULD_UPDATE,
cmou65qf4008zqt1oaxiecdfx,cmou65qee008xqt1o7ljwn00l,University of Rhode Island,university-of-rhode-island,NCAA_D1,,https://gorhody.com/sports/baseball,HIGH,https://gorhody.com/sports/baseball/coaches/2026,4,WOULD_UPDATE,
cmou65qgi0092qt1ovyrn305w,cmou65qft0090qt1oyy3qt0xa,University of Richmond,university-of-richmond,NCAA_D1,,https://richmondspiders.com/sports/baseball,HIGH,https://richmondspiders.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmou57eg60082qtdwkr4v7bz1,cmou57eff0080qtdwllt5e1ya,University of South Florida,university-of-south-florida,NCAA_D1,,https://gousfbulls.com/sports/baseball,HIGH,https://gousfbulls.com/sports/baseball/roster/2026#sidearm-roster-coaches,5,WOULD_UPDATE,
cmossums80042qtpg69u7kaqh,cmossumrj0040qtpg5nfsfxij,University of Southern California,university-of-southern-california,NCAA_D1,,https://usctrojans.com/sports/baseball,HIGH,https://usctrojans.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmou57elp008bqtdw5g9tglmv,cmou57el20089qtdwofatlmue,University of Texas at San Antonio,university-of-texas-at-san-antonio,NCAA_D1,,https://goutsa.com/sports/baseball,HIGH,https://goutsa.com/sports/baseball/roster#sidearm-roster-coaches,5,WOULD_UPDATE,
cmosun0dd005bqtlgtpmduubv,cmosun0cp0059qtlgmyvx6gz3,University of Utah,university-of-utah,NCAA_D1,,https://utahutes.com/sports/baseball,HIGH,https://utahutes.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmorirvju001tqtm0jenypf9l,cmorirvj4001rqtm0u610tmnb,University of Virginia,university-of-virginia,NCAA_D1,,https://virginiasports.com/sports/baseball,HIGH,https://virginiasports.com/sports/baseball/roster#sidearm-roster-coaches,5,WOULD_UPDATE,
cmossumuy0048qtpgu11ho5mb,cmossumua0046qtpg7kokmi2a,University of Washington,university-of-washington,NCAA_D1,,https://gohuskies.com/sports/baseball,HIGH,https://gohuskies.com/sports/baseball/roster/2026#sidearm-roster-coaches,5,WOULD_UPDATE,
cmou692kj00a8qt1gh5k57wkp,cmou692js00a6qt1g8npxqitj,University of West Georgia,university-of-west-georgia,NCAA_D1,,https://uwgathletics.com/sports/baseball,HIGH,https://uwgathletics.com/sports/baseball/coaches/2026,3,WOULD_UPDATE,
cmou6bacz00b2qtic8lqoxe2q,cmou6bacb00b0qtickdtwuqln,Villanova University,villanova-university,NCAA_D1,,https://villanova.com/sports/baseball,HIGH,https://villanova.com/sports/baseball/coaches/2026,4,WOULD_UPDATE,
cmou65qkx009bqt1o72evz4o4,cmou65qk50099qt1olu75tu27,Virginia Commonwealth University,virginia-commonwealth-university,NCAA_D1,,https://vcuathletics.com/sports/baseball,HIGH,https://vcuathletics.com/sports/baseball/coaches/2026,4,WOULD_UPDATE,
cmorirvl8001wqtm0fnifyxse,cmorirvkj001uqtm0xddfcy1n,Virginia Tech,virginia-tech,NCAA_D1,,https://hokiesports.com/sports/baseball,HIGH,https://hokiesports.com/sports/baseball/roster#sidearm-roster-coaches,4,WOULD_UPDATE,
cmorirv2z000wqtm0syj9sq1f,cmorirv2b000uqtm0d0xcn8m3,Wake Forest University,wake-forest-university,NCAA_D1,,https://godeacs.com/sports/baseball,HIGH,https://godeacs.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmosun0eo005eqtlg60tq9pxa,cmosun0e0005cqtlgaq1vqq45,West Virginia University,west-virginia-university,NCAA_D1,,https://wvusports.com/sports/baseball,HIGH,https://wvusports.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmou57en3008eqtdwv2nmtif8,cmou57emf008cqtdwbx84cqra,Wichita State University,wichita-state-university,NCAA_D1,,https://goshockers.com/sports/baseball,HIGH,https://goshockers.com/sports/baseball/coaches/2026,4,WOULD_UPDATE,
cmorihv44000eqth8uy202g1u,cmorihv3g000cqth80t0ywnkz,Winthrop University,winthrop-university,NCAA_D1,,https://winthropeagles.com/sports/baseball,HIGH,https://winthropeagles.com/sports/baseball/coaches/2026,4,WOULD_UPDATE,
cmou6baee00b5qtic8uzfufb4,cmou6bado00b3qticrimagx0v,Xavier University,xavier-university,NCAA_D1,,https://goxavier.com/sports/baseball,HIGH,https://goxavier.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
