slug,collegeName,highConfidenceAreas,mediumConfidenceAreas,lowConfidenceAreas,writeAreas,matchedCount,writeCount,sourceUrl,writeStatus
university-of-cincinnati,University of Cincinnati,Business|Education|Finance|History|Management,Communications|Marketing,Accounting|Emergency Management|Engineering|Entrepreneurship|Statistics,Business|Education|Finance|History|Management|Communications|Marketing,12,7,https://www.uc.edu/academics,WRITTEN
university-of-colorado-boulder,University of Colorado Boulder,Education|Entrepreneurship,Business|Communications|English,,Education|Entrepreneurship|Business|Communications|English,5,5,https://www.colorado.edu/academics,WRITTEN
university-of-connecticut,University of Connecticut,,English|History|Psychology,Data Analytics|Entrepreneurship,English|History|Psychology,5,3,https://uconn.edu,WRITTEN
university-of-dallas,University of Dallas,,Business|Education|Nursing,,Business|Education|Nursing,3,3,https://www.udallas.edu/academics,WRITTEN
university-of-dayton,University of Dayton,Education|English,Business|Engineering|Health Sciences,,Education|English|Business|Engineering|Health Sciences,5,5,https://udayton.edu/academics,WRITTEN
university-of-dubuque,University of Dubuque,Accounting|Art|Business|Criminal Justice|Economics|Education|English|History|Management|Marketing|Mathematics|Music|Nursing|Philosophy|Psychology|Sociology,Biology|Chemistry|Cybersecurity|Data Analytics|Environmental Science|Exercise Science|Human Resources|Information Systems|Information Technology|Performing Arts|Sport Management,Finance,Accounting|Art|Business|Criminal Justice|Economics|Education|English|History|Management|Marketing|Mathematics|Music|Nursing|Philosophy|Psychology|Sociology|Biology|Chemistry|Cybersecurity|Data Analytics|Environmental Science|Exercise Science|Human Resources|Information Systems|Information Technology|Performing Arts|Sport Management,28,27,https://www.dbq.edu/programs,WRITTEN
university-of-evansville,University of Evansville,Athletic Training|Business|Chemistry|Education|Engineering|Exercise Science|Management|Mathematics|Music|Nursing,Accounting|Actuarial Science|Art|Biochemistry|Biology|Business Analytics|Data Science|Economics|Electrical Engineering|English|Environmental Science|Finance|History|Human Services|Literature|Marketing|Mechanical Engineering|Physical Therapy|Political Science|Pre-Dentistry|Pre-Pharmacy|Psychology|Public Health|Sociology|Statistics,Civil Engineering|Computer Engineering|Computer Science|Construction Management|Criminal Justice|Cybersecurity|Journalism|Neuroscience|Public Relations,Athletic Training|Business|Chemistry|Education|Engineering|Exercise Science|Management|Mathematics|Music|Nursing|Accounting|Actuarial Science|Art|Biochemistry|Biology|Business Analytics|Data Science|Economics|Electrical Engineering|English|Environmental Science|Finance|History|Human Services|Literature|Marketing|Mechanical Engineering|Physical Therapy|Political Science|Pre-Dentistry|Pre-Pharmacy|Psychology|Public Health|Sociology|Statistics,44,35,https://www.evansville.edu/academics,WRITTEN
university-of-florida,University of Florida,,Business,,Business,1,1,https://www.ufl.edu/academics,WRITTEN
university-of-georgia,University of Georgia,,,,,0,0,,NO_WRITABLE_MATCHES
university-of-hartford,University of Hartford,Education|Engineering,Architecture|Art|Business|Digital Media|History|Journalism|Nursing,Communications,Education|Engineering|Architecture|Art|Business|Digital Media|History|Journalism|Nursing,10,9,https://www.hartford.edu/academics,WRITTEN
